Dog,Pies
Cat,Kot
Bird,Ptak
Fish,Ryba
Cow,Krowa
Horse,Koń
Sheep,Owca
Chicken,Kurczak
Duck,Kaczka
Rabbit,Królik
Goat,Koza
Pig,Świnia
Hen,Kura
Bear,Niedźwiedź
Wolf,Wilk
Fox,Lis
Boar,Dzik
Jellyfish,Meduza
Seal,Foka
Dolphin,Delfin
Shark,Rekin
Octopus,Ośmiornica
Ant,Mrówka
Spider,Pająk
Fly,Mucha
Wasp,Osa
Tiger,Tygrys
Monkey,Małpa
Mouse,Mysz
Snail,Ślimak
Frog,Żaba
Crocodile,Krokodyl
Zebra,Zebra
Mosquito,Komar
Turtle,Żółw
Crab,Krab
Snake,Wąż
Butterfly,Motyl
Bee,Pszczoła
Lion,Lew
Donkey,Osioł
Elephant,Słoń
Pigeon,Gołąb
Bug,Pluskwa
Whale,Wieloryb
Panda,Panda
Polar bear,Niedźwiedź polarny
Koala,Koala
Kangaroo,Kangur
Giraffe,Żyrafa
Bat,Nietoperz
Raven,Kruk
Owl,Sowa
Penguin,Pingwin
Parrot,Papuga
Squid,Kałamarnica
Dinosaur,Dinozaur
Bull,Byk
