Hello,Cześć
Good morning,Dzień dobry
Good night,Dobranoc
Nice to meet you,Miło mi
Very,Bardzo
My name is,Nazywam się
Me too,Mnie również
School,Szkoła
Teacher (F),Nauczycielka
Complicated,Skomplikowany
Where?,Gdzie?
Here,Tu
There,Tam
Yes,Tak
No,Nie
Please,Proszę
Thank you,Dziękuję
Sorry,Przepraszam
I don't understand,Nie rozumiem
I don't know,Nie wiem
Please repeat,Proszę powtórzyć
Left,Lewo
Right,Prawo
First,Pierwszy
Tired,Zmęczony
Name,Imię
Surname,Nazwisko
Now,Teraz
Question,Pytanie
To mean,Znaczyć
To speak,Mówić
To write,Napisać
To spell,Przeliterować
To read,Przeczytać
To complete,Uzupełnić
To listen,Posłuchać
See you tomorrow,Do jutra
