Zero,Zero
One,Jeden
Two,Dwa
Three,Trzy
Four,Cztery
Five,Pięć
Six,Sześć
Seven,Siedem
Eight,Osiem
Nine,Dziewięć
Ten,Dziesięć
Eleven,Jedenaście
Twelve,Dwanaście
Thirteen,Trzynaście
Fourteen,Czternaście
Fifteen,Piętnaście
Sixteen,Szesnaście
Seventeen,Siedemnaście
Eighteen,Osiemnaście
Nineteen,Dziewiętnaście
Twenty,Dwadzieścia
Twenty-one,Dwadzieścia jeden
Thirty,Trzydzieści
Fourty,Czterdzieści
Fifty,Pięćdziesiąt
Sixty,Sześćdziesiąt
Seventy,Siedemdziesiąt
Eighty,Osiemdziesiąt
Ninety,Dziewięćdziesiąt
One hundred,Sto
Two hundred,Dwieście
Three hundred,Trzysta
Four hundred,Czterysta
Five Hundred,Pięćset
Six hundred,Sześćset
One thousand,Tysiąc
