Second,Drugi
Third,Trzeci
Virus,Wirus
Dragon,Smok
Woman,Kobieta
Man,Mężczyzna
Bicycle,Rower
Chess,Szachy
Full,Pełny
Country,Kraj
Friend,Przyjaciel
To like,Lubić
To kiss,Całować
Neighbour,Sąsiad
Slow,Powolny
Slowly,Powoli
Fast,Szybki
To come,Przyjść
To laugh,Śmiać się
Far,Daleko
Beautifull,Piękny
Difficult,Trudny
Easy,Łatwy
Clock,Zegar
Calendar,Kalendarz
Second (Time),Sekunda
Minute,Minuta
Hour,Godzina
Week,Tydzień
Month,Miesiąc
To wait,Czekać
To poison,Zatruć
Poison,Trucizna
Pain,Ból
Flint,Krzemień
To use (imperfective),Używać
To find (perfective),Znaleźć
To find (imperfective),Znajdować
Whole,Cały
Other,Inny
Soul,Dusza
To learn,Uczyć się
Correct,Poprawny
Near,Blisko
