Place,Miejsce
Wood,Dewno
Once,Raz
Paper,Papier
Student,Uczeń
Many,Wiele
Much,Dużo
Company,Firma
Even,Nawet
Several,Kilka
Information,Informacja
Life,Życie
During,Podczas
Situation,Situacja
Last,Ostatni
Way,Sposób
Hospital,Szpital
World,Świat
Topic,Temat
Part,Część
Group,Grupa
Price,Cena
End,Koniec
Offer,Oferta
Game,Gra
Important,Ważny
Movie,Film
Posibility,Możliwość
Match,Mecz
Decision,Decyzja
Center,Centrum
Team,Zespół
Test,Badanie
Reason,Powód
Election,Wybory
Different,Różny
Beginning,Początek
Simple,Prosty
Level,Poziom
Main,Główny
Early,Wcześnie
History,Historia
Rule,Zasada
Own,Własny
Development,Rozwój
To receive (perfective), Otrzymać
To receive (imperfective), Otrzymywać
Thing,Rzecz
