Child,Dziecko
Road,Droga
State,Stan
Goal,Cel
Change,Zmiana
Percent,Procent
Employee,Pracownik
Meeting,Spotkanie
Government,Rząd
Territory,Teren
Attention,Uwaga
Point,Punkt
Connection,Związek
Action,Działanie
Municipality,Gmina
Client,Klient
Authority,Władza
Meter,Metr
Patient,Pacjent
Service,Usługa
While,Chwila
Deal,Umowa
Plan,Plan
Fight,Walka
Contest,Konkurs
Accident,Wypadek
Security,Ochrona
Border,Granica
Opportunity,Okazja
Material,Materiał
Culture,Kultura
File,Plik
Document,Dokument
Vehicle,Pojazd
Boss,Szef
Church,Kościół
Version,Wersja
Death,Śmierć
Answer,Odpowiedź
Quality,Jakość
Color,Kolor
War,Wojna
Address,Adres
Coach,Trener
Character,Postać
Line,Linia
Idea,Pomysł
Hope,Nadzieja
Union,Unia
Sport,Sport
Energy,Energia
Brand,Marka
Hotel,Hotel
Animal,Zwierzę
Image,Obraz
Park,Park
Forest,Las
Success,Sukces
Description,Opis
Face,Twarz
Temperatura,Temperatura
Air,Powietrze
Blood,Krew
Future,Przyszłość
Song,Piosenka
Museum,Muzeum
University,Uniwersytet
Land,Ziemia
Medicine,Lek
Training,Trening
Departure,Wyjazd
Love,Miłość
Date,Data
